,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja
48,5.744562646538029,2020-04-22,3.605551275463989,2.8284271247461903,1.7320508075688772,1.0,1.4142135623730951,8.06225774829855,5.744562646538029,9.746794344808963,4.123105625617661,2.6457513110645907,2.8284271247461903,10.816653826391969,0.0,1.7320508075688772,2.0,4.58257569495584,2.0,33.0,2020-04-22,13.0,22.0,11.5,1.0,2.0,65.0,33.0,95.0,17.0,7.0,8.0,117.0,0.0,3.0,4.0,21.0,4.0
49,5.385164807134504,2020-04-23,5.0,3.3166247903554,2.0,0.0,2.449489742783178,6.928203230275509,5.291502622129181,9.797958971132712,4.242640687119285,1.7320508075688772,2.6457513110645907,10.344080432788601,0.0,1.0,2.8284271247461903,6.557438524302,2.23606797749979,29.0,2020-04-23,25.0,11.0,4.0,0.0,6.0,48.0,47.5,96.0,18.0,3.0,7.0,107.0,0.0,1.0,8.0,43.0,5.0
50,5.291502622129181,2020-04-24,3.7416573867739413,2.449489742783178,2.0,2.6457513110645907,2.23606797749979,8.18535277187245,5.477225575051661,7.0710678118654755,4.795831523312719,2.0,2.6457513110645907,9.0,0.0,1.0,2.8284271247461903,5.0990195135927845,2.0,28.0,2020-04-24,14.0,14.0,4.0,7.0,12.0,67.0,30.0,163.0,23.0,9.0,7.0,81.0,0.0,1.0,8.0,26.0,4.0
51,4.898979485566356,2020-04-25,3.7416573867739413,2.6457513110645907,1.4142135623730951,1.4142135623730951,2.0,6.082762530298219,5.196152422706632,10.246950765959598,5.0,2.23606797749979,2.449489742783178,9.1104335791443,0.0,1.0,3.4641016151377544,4.358898943540674,2.0,24.0,2020-04-25,14.0,7.0,2.0,2.0,4.0,37.0,39.0,105.0,25.0,5.0,6.0,83.0,0.0,1.0,12.0,19.0,4.0
52,3.7416573867739413,2020-04-26,1.7320508075688772,2.8284271247461903,1.0,1.0,1.0,6.164414002968976,5.196152422706632,8.246211251235321,3.7416573867739413,2.449489742783178,2.449489742783178,8.602325267042627,0.0,1.0,1.4142135623730951,4.242640687119285,2.0,14.0,2020-04-26,9.0,8.0,1.0,1.0,4.5,38.0,27.0,68.0,14.0,6.0,6.0,74.0,0.0,11.0,2.0,18.0,4.0
53,3.4641016151377544,2020-04-27,3.7416573867739413,2.23606797749979,2.0,0.0,1.7320508075688772,5.916079783099616,4.898979485566356,11.532562594670797,1.7320508075688772,2.449489742783178,3.3166247903554,8.0,0.0,1.0,1.0,3.3166247903554,2.23606797749979,12.0,2020-04-27,14.0,16.0,4.0,0.0,3.0,35.0,34.0,133.0,11.0,6.0,11.0,64.0,0.0,1.0,1.0,11.0,5.0
54,3.3166247903554,2020-04-28,3.0,2.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,5.5677643628300215,4.47213595499958,10.44030650891055,3.3166247903554,2.23606797749979,2.6457513110645907,7.874007874011811,0.0,1.4142135623730951,0.0,3.7416573867739413,2.449489742783178,11.0,2020-04-28,9.0,4.0,7.5,2.0,6.0,31.0,20.0,109.0,11.0,5.0,7.0,62.0,0.0,2.0,5.5,14.0,6.0
55,4.47213595499958,2020-04-29,1.0,2.6457513110645907,2.0,1.0,1.7320508075688772,6.324555320336759,5.0990195135927845,9.848857801796104,4.242640687119285,2.6457513110645907,0.0,7.54983443527075,0.0,0.0,4.0,4.358898943540674,2.0,20.0,2020-04-29,19.0,7.0,4.0,1.0,3.0,40.0,26.0,97.0,18.0,7.0,9.5,57.0,0.0,6.5,16.0,19.0,4.0
56,4.358898943540674,2020-04-30,1.7320508075688772,2.0,1.7320508075688772,1.0,0.0,5.196152422706632,4.0,8.366600265340756,4.242640687119285,2.449489742783178,0.0,8.426149773176359,0.0,0.0,1.7320508075688772,4.69041575982343,1.4142135623730951,19.0,2020-04-30,3.0,4.0,3.0,1.0,7.0,27.0,16.0,70.0,26.5,6.0,15.5,71.0,0.0,0.0,3.0,22.0,2.0
57,5.5677643628300215,2020-05-01,3.1622776601683795,1.0,2.23606797749979,1.0,1.0,5.916079783099616,4.242640687119285,9.273618495495704,3.0,2.23606797749979,2.6457513110645907,6.782329983125268,0.0,1.4142135623730951,2.6457513110645907,4.0,1.0,31.0,2020-05-01,10.0,5.5,5.0,13.0,5.0,35.0,18.0,86.0,9.0,5.0,7.0,46.0,0.0,7.0,7.0,16.0,1.0
